ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														267	11:27:07.857	1.39747E+15																1		Fixation	283			16	901	473	928	438	914	455			253,01	161,46	260,84	171,23	256,92	166,34	209,41	296,30	535,42	276,04	295,12	536,10					618,10	618,10	2,99	3,07	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														283	11:27:07.874	1.39747E+15																1		Fixation	283			17	911	453	923	448	917	450			255,92	167,14	259,25	168,62	257,58	167,88	209,46	296,40	535,63	276,08	295,07	536,09					618,32	618,32	2,94	3,09	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														300	11:27:07.891	1.39747E+15																1		Fixation	283			18	904	462	916	437	910	449			253,95	164,55	257,29	171,60	255,62	168,08	209,51	296,27	535,58	276,11	294,98	536,07					618,21	618,21	2,96	3,09	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														317	11:27:07.907	1.39747E+15																1		Fixation	283			19	930	593	966	526	948	559			261,38	127,95	271,46	146,63	266,42	137,29	209,68	296,05	535,75	276,06	294,22	535,55					618,22	618,22	2,99	3,11	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														333	11:27:07.924	1.39747E+15																2		Fixation	183			20	941	659	972	619	956	639			264,48	109,54	273,05	120,65	268,76	115,10	209,76	295,96	535,96	276,02	293,88	535,36					618,35	618,35	2,93	3,11	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														350	11:27:07.941	1.39747E+15																2		Fixation	183			21	935	671	976	613	955	642			262,76	106,18	274,31	122,47	268,54	114,33	209,70	295,94	535,97	276,02	293,84	535,33					618,35	618,35	2,95	3,07	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														367	11:27:07.957	1.39747E+15																2		Fixation	183			22	958	666	978	608	968	637			269,06	107,59	274,86	123,72	271,96	115,66	209,64	295,97	536,03	275,99	293,88	535,41					618,41	618,41	2,92	3,04	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														383	11:27:07.974	1.39747E+15																2		Fixation	183			23	934	692	985	605	959	648			262,30	100,32	276,62	124,59	269,46	112,46	209,56	296,14	536,34	275,93	293,94	535,51					618,77	618,77	2,98	3,04	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														400	11:27:07.991	1.39747E+15																2		Fixation	183			24	947	667	980	602	963	634			265,98	107,30	275,24	125,51	270,61	116,41	209,48	296,10	536,33	275,88	294,00	535,56					618,75	618,75	2,97	3,02	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														417	11:27:08.007	1.39747E+15																2		Fixation	183			25	938	684	984	611	961	647			263,50	102,61	276,52	122,83	270,01	112,72	209,37	296,39	536,78	275,80	294,18	535,74					619,29	619,29	2,99	3,08	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														433	11:27:08.024	1.39747E+15																2		Fixation	183			26	946	676	987	598	966	637			265,77	104,77	277,30	126,49	271,54	115,63	209,30	296,28	536,60	275,74	294,40	535,97					619,08	619,08	2,97	3,05	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														450	11:27:08.041	1.39747E+15																2		Fixation	183			27	948	687	977	605	962	646			266,29	101,60	274,44	124,66	270,36	113,13	209,22	296,42	536,77	275,68	294,57	536,09					619,30	619,30	2,96	3,10	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														467	11:27:08.057	1.39747E+15																2		Fixation	183			28	939	682	986	618	962	650			263,78	103,01	277,13	121,06	270,46	112,04	209,16	296,60	537,03	275,63	294,83	536,36					619,62	619,62	3,02	3,11	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														483	11:27:08.074	1.39747E+15																2		Fixation	183			29	939	696	980	598	959	647			263,71	99,13	275,27	126,63	269,49	112,88	209,09	296,78	537,28	275,58	295,00	536,53					619,93	619,93	3,01	3,13	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														500	11:27:08.091	1.39747E+15																2		Fixation	183			30	953	708	993	641	973	674			267,82	95,73	279,06	114,55	273,44	105,14	209,13	296,83	537,49	275,58	295,12	536,82					620,13	620,13	3,03	3,17	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														516	11:27:08.107	1.39747E+15																3		Fixation	433			31	970	733	1005	669	987	701			272,41	88,71	282,35	106,77	277,38	97,74	209,16	296,79	537,46	275,58	295,34	537,27					620,08	620,08	3,03	3,12	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														533	11:27:08.124	1.39747E+15																3		Fixation	433			32	967	747	1005	690	986	718			271,81	84,96	282,26	100,84	277,04	92,90	209,09	296,95	537,65	275,55	295,55	537,60					620,33	620,33	3,07	3,20	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														550	11:27:08.141	1.39747E+15																3		Fixation	433			33	978	749	1011	678	994	713			274,84	84,36	284,15	104,16	279,49	94,26	209,01	297,21	538,03	275,49	295,68	537,82					620,80	620,80	3,09	3,20	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														566	11:27:08.157	1.39747E+15																3		Fixation	433			34	989	735	1007	671	998	703			277,94	88,31	282,97	106,05	280,45	97,18	208,92	297,28	538,04	275,41	295,82	537,98					620,85	620,85	3,05	3,23	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														583	11:27:08.174	1.39747E+15																3		Fixation	433			35	977	748	1019	678	998	713			274,52	84,65	286,31	104,11	280,41	94,38	208,79	297,46	538,22	275,28	296,13	538,33					621,10	621,10	3,09	3,25	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														600	11:27:08.191	1.39747E+15																3		Fixation	433			36	975	736	1002	676	988	706			273,81	87,87	281,40	104,59	277,61	96,23	208,63	297,68	538,47	275,13	296,23	538,35					621,44	621,44	3,10	3,27	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														616	11:27:08.207	1.39747E+15																3		Fixation	433			37	976	742	1011	683	993	712			274,24	86,12	283,98	102,69	279,11	94,40	208,43	297,81	538,66	274,94	296,34	538,35					621,67	621,67	3,12	3,27	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														633	11:27:08.224	1.39747E+15																3		Fixation	433			38	983	736	988	688	985	712			276,10	87,96	277,60	101,36	276,85	94,66	208,19	297,94	538,88	274,72	296,57	538,55					621,94	621,94	3,17	3,33	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														650	11:27:08.240	1.39747E+15																3		Fixation	433			39	971	765	1018	675	994	720			272,86	79,83	285,91	104,98	279,39	92,41	207,95	298,05	538,98	274,47	296,77	538,57					622,10	622,10	3,19	3,32	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														666	11:27:08.257	1.39747E+15																3		Fixation	433			40	983	730	1010	682	996	706			276,05	89,70	283,63	103,02	279,84	96,36	207,68	298,36	539,31	274,21	296,95	538,50					622,55	622,55	3,16	3,32	0	0			
