ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33180,14:35:37.321,1415282226896330,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1992,1414,669,1425,644,1419,656,1417,654,397,22,106,62,400,33,113,66,398,77,110,14,247,37,239,72,446,37,309,31,233,80,446,75,,,,,512,14,512,14,2,61,2,55,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33197,14:35:37.338,1415282226913070,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1993,1415,657,1417,677,1416,667,1414,665,397,42,110,17,398,8,104,43,397,75,107,30,247,44,239,72,446,34,309,41,233,82,446,80,,,,,512,12,512,12,2,64,2,66,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33213,14:35:37.355,1415282226929700,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1994,1432,664,1415,652,1423,658,1421,656,402,35,107,96,397,65,111,44,400,0,109,70,247,49,239,72,446,30,309,49,233,81,446,80,,,,,512,9,512,9,2,65,2,63,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33230,14:35:37.371,1415282226946320,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1995,1412,691,1430,666,1421,678,1419,676,396,62,100,47,401,81,107,39,399,22,103,93,247,60,239,80,446,40,309,56,233,78,446,77,,,,,512,22,512,22,2,68,2,61,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33247,14:35:37.388,1415282226962940,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1996,1440,684,1436,658,1438,671,1436,669,404,54,102,51,403,40,109,72,403,97,106,12,247,61,239,73,446,27,309,62,233,78,446,79,,,,,512,7,512,7,2,66,2,60,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33263,14:35:37.405,1415282226979690,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1997,1412,705,1432,664,1422,684,1420,682,396,69,96,61,402,46,108,1,399,58,102,31,247,69,239,73,446,24,309,67,233,68,446,64,,,,,512,5,512,5,2,71,2,60,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33280,14:35:37.421,1415282226996310,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1998,1393,679,1418,654,1405,666,1403,664,391,34,103,94,398,43,110,97,394,89,107,45,247,82,239,76,446,27,309,75,233,77,446,79,,,,,512,9,512,9,2,67,2,56,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33297,14:35:37.438,1415282227012930,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1999,1427,684,1443,678,1435,681,1433,679,400,84,102,53,405,34,104,8,403,9,103,31,247,83,239,70,446,23,309,84,233,72,446,82,,,,,512,3,512,3,2,72,2,66,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33313,14:35:37.455,1415282227029570,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,2000,1509,734,1510,738,1509,736,1507,734,424,7,88,60,424,19,87,30,424,13,87,95,248,24,239,54,446,28,310,14,233,69,447,13,,,,,511,99,511,99,2,61,2,64,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33330,14:35:37.471,1415282227046300,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2001,1557,812,1563,802,1560,807,1558,805,437,43,66,76,439,2,69,41,438,23,68,8,248,49,239,50,446,54,310,33,233,59,447,30,,,,,512,19,512,19,2,60,2,62,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33347,14:35:37.488,1415282227062930,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2002,1543,814,1557,806,1550,810,1548,808,433,63,66,12,437,46,68,26,435,55,67,19,248,54,239,44,446,48,310,41,233,54,447,37,,,,,512,11,512,11,2,70,2,62,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33363,14:35:37.505,1415282227079550,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2003,1543,836,1578,806,1560,821,1558,819,433,40,59,78,443,46,68,39,438,43,64,9,248,63,239,44,446,49,310,50,233,42,447,23,,,,,512,12,512,12,2,68,2,58,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33380,14:35:37.521,1415282227096170,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2004,1552,822,1576,809,1564,815,1562,813,435,90,63,78,442,77,67,35,439,34,65,56,248,74,239,43,446,45,310,63,233,43,447,26,,,,,512,9,512,9,2,59,2,61,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33397,14:35:37.538,1415282227112920,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2005,1538,811,1576,816,1557,813,1555,811,432,20,66,87,442,91,65,61,437,55,66,24,248,86,239,40,446,38,310,77,233,46,447,36,,,,,512,1,512,1,2,62,2,56,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33413,14:35:37.555,1415282227129550,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2006,1562,853,1576,842,1569,847,1567,845,438,76,55,24,442,71,58,16,440,74,56,70,249,4,239,40,446,45,310,94,233,38,447,44,,,,,512,8,512,8,2,60,2,58,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33430,14:35:37.571,1415282227146160,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2007,1645,912,1653,899,1649,905,1647,903,462,27,38,59,464,36,42,37,463,32,40,48,249,30,239,46,446,63,311,28,233,53,447,89,,,,,512,27,512,27,2,57,2,58,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33446,14:35:37.588,1415282227162790,,,,,,,,,,,,,,,,101,,Fixation,133,1558,812,2008,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33463,14:35:37.605,1415282227179550,,,,,,,,,,,,,,,,,,Unclassified,633,,,2009,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33480,14:35:37.621,1415282227196150,,,,,,,,,,,,,,,,,,Unclassified,633,,,2010,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33496,14:35:37.638,1415282227212770,,,,,,,,,,,,,,,,,,Unclassified,633,,,2011,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33513,14:35:37.655,1415282227229390,,,,,,,,,,,,,,,,,,Unclassified,633,,,2012,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33530,14:35:37.671,1415282227246140,,,,,,,,,,,,,,,,,,Unclassified,633,,,2013,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33546,14:35:37.688,1415282227262750,,,,,,,,,,,,,,,,,,Unclassified,633,,,2014,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
