ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,52952,14:35:57.094,,,,,,,,,,10,URLStart,http://www.eyevido.de/,,,,,157,,Fixation,383,1369,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,52966,14:35:57.108,1415282246679750,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3180,1402,671,1415,654,1408,662,1406,660,393,95,106,11,397,61,110,85,395,78,108,48,246,40,237,34,439,12,308,42,232,83,441,3,,,,,504,74,504,74,2,59,2,57,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,52983,14:35:57.124,1415282246696380,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3181,1415,644,1421,657,1418,650,1416,648,397,44,113,76,399,20,109,92,398,32,111,84,246,30,237,37,439,26,308,31,232,69,440,87,,,,,504,88,504,88,2,51,2,54,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,52999,14:35:57.141,1415282246713000,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3182,1395,662,1413,660,1404,661,1402,659,392,5,108,69,396,95,109,29,394,50,108,99,246,25,237,36,439,32,308,28,232,74,441,0,,,,,504,92,504,92,2,60,2,58,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53016,14:35:57.158,1415282246729750,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3183,1391,692,1417,671,1404,681,1402,679,390,94,100,28,398,1,106,15,394,48,103,21,246,17,237,45,439,51,308,19,232,76,441,8,,,,,505,12,505,12,2,60,2,56,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53033,14:35:57.174,1415282246746370,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3184,1414,668,1422,665,1418,666,1416,664,397,26,106,94,399,47,107,73,398,36,107,33,246,2,237,39,439,48,308,9,232,80,441,16,,,,,505,6,505,6,2,53,2,52,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53049,14:35:57.191,1415282246762990,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3185,1329,651,1348,637,1338,644,1336,642,373,25,111,79,378,82,115,75,376,4,113,77,245,68,237,52,439,64,307,74,232,85,441,11,,,,,505,26,505,26,2,61,2,55,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53066,14:35:57.207,1415282246779620,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3186,1111,597,1154,582,1132,589,1130,587,312,20,126,87,324,25,130,97,318,23,128,92,244,77,237,78,439,88,306,82,233,9,441,15,,,,,505,59,505,59,2,50,2,51,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53083,14:35:57.224,1415282246796360,,,,,,,,,,,,,,,,157,,Fixation,383,1369,660,3187,1086,580,1107,571,1096,575,1094,573,305,15,131,56,310,95,134,6,308,5,132,81,243,89,238,4,440,22,305,85,233,16,440,98,,,,,506,0,506,0,2,50,2,49,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53099,14:35:57.241,1415282246812980,,,,,,,,,,,,,,,,158,,Fixation,200,801,586,3188,,,,,,,,,,,,,,,,,,,-37,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53116,14:35:57.257,1415282246829610,,,,,,,,,,,,,,,,158,,Fixation,200,801,586,3189,789,593,789,617,789,605,787,603,221,62,127,96,221,78,121,13,221,70,124,55,243,29,238,10,440,26,305,15,233,34,440,95,,,,,506,6,506,6,2,61,2,63,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53133,14:35:57.274,1415282246846230,,,,,,,,,,,,,,,,158,,Fixation,200,801,586,3190,805,578,800,583,802,580,800,578,226,11,132,23,224,70,130,86,225,41,131,54,243,7,238,24,440,44,304,94,233,32,440,81,,,,,506,28,506,28,2,53,2,53,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,53149,14:35:57.291,1415282246862980,,,,,,,,,,,,,,,,158,,Fixation,200,801,586,3191,798,602,809,580,803,591,801,589,224,12,125,57,227,26,131,47,225,69,128,52,242,84,238,31,440,54,304,75,233,51,440,95,,,,,506,40,506,40,2,56,2,51,0,0
